Ticker,Summary,Label,Confidence,URL
GME,Retail investors have been net sellers of single stocks. Hedge funds have become more dominant short sellers,NEGATIVE,0.8954309225082397,https://finance.yahoo.com/news/analysis-shorts-circle-gamestop-amc-050545286.html
GME,15 best penny stocks to invest in. These stocks provide investors with decent short-term returns,POSITIVE,0.9990646243095398,https://finance.yahoo.com/news/15-best-penny-stocks-invest-142312669.html
GME,"Survey finds 92 percent of corporate recruiters expecting to hire MBAs. East, Southeast Asia and Middle East recruiters most confident",POSITIVE,0.9955031275749207,https://finance.yahoo.com/news/business-school-graduates-enter-white-140000655.html
GME,Celsius token has soared 218% since June 13. Investors targeting short sellers who profited from ‘bank run’,POSITIVE,0.9938773512840271,https://finance.yahoo.com/news/celsius-defies-fear-implosion-token-110843077.html
GME,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/gamestop-gme-stock-sinks-market-220010614.html
GME,"‘We pass, for now,’ BlackRock says of ‘buy the dip’ strategy",NEGATIVE,0.9879947304725647,https://finance.yahoo.com/news/morning-brief-june-14-2022-100052802.html
GME,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/amc-gme-have-seen-the-apex-of-their-interest-strategist-203140661.html
GME,Report says FTX had no active talks to buy Gamestop. Report says regulators need to do more to regulate apps,NEGATIVE,0.9996492862701416,https://finance.yahoo.com/news/robinhood-almost-imploded-during-gamestop-205051551.html
GME,Direct Registration System (DRS) is increasingly being used by shareholders. Retail investors have been using the service for years,NEGATIVE,0.9811649322509766,https://www.thestreet.com/memestocks/gme/gamestop-stocks-direct-registration-is-increasing-free-float-is-being-locked-up
GME,IMXSM reading ranks ‘Moderate Low’ compared to historic averages. Ameritrade clients were net buyers of equities overall in June,NEGATIVE,0.9981441497802734,https://finance.yahoo.com/news/td-ameritrade-investor-movement-index-163000660.html
TSLA,"Electric vehicle maker reported better-than-expected second quarter. Musk says recession risk is imminent, could slow demand",NEGATIVE,0.9908789992332458,https://finance.yahoo.com/news/elephant-in-the-room-for-tesla-dan-ives-114140089.html
TSLA,"The trailer was displayed at IdeenExpo, a tech conference in Hannover, Germany.",NEGATIVE,0.9685335755348206,https://au.finance.yahoo.com/news/sure-tesla-solar-trailer-014900816.html
TSLA,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/us-stocks-wall-street-slips-165230856.html
TSLA,"Deutsche Bank, Goldman Sachs cut Q2 deliveries estimates. Musk says ‘insane’ end-of-quarter delivery push possible",NEGATIVE,0.9912733435630798,https://finance.yahoo.com/news/tesla-wall-street-wary-of-q-2-deliveries-165057688.html
TSLA,"China’s EV makers have surged 64% over past month. Beijing’s stimulus has boosted EV sales, production",POSITIVE,0.9996529817581177,https://finance.yahoo.com/news/china-electric-vehicle-stocks-rage-010001191.html
TSLA,"J.P Morgan cuts PT on carmaker's shares to $385, says issues at new factories.",NEGATIVE,0.997852087020874,https://finance.yahoo.com/news/wall-st-turns-gloomy-tesla-125557001.html
TSLA,EV maker has lost 45% of its value since November 2020. Tesla was worth twice as much as Berkshire in November 2020,NEGATIVE,0.9994866847991943,https://ca.finance.yahoo.com/news/elon-musks-tesla-blew-past-124239012.html
TSLA,"Tesla sales up 142% from May, up 135% from a year ago. China passenger car association publishes preliminary estimates",POSITIVE,0.7619246244430542,https://finance.yahoo.com/news/1-tesla-sold-78-000-101950848.html
TSLA,"In case you missed it, here’s a round-up of the week in tech.",NEGATIVE,0.5460083484649658,https://finance.yahoo.com/news/station-robotaxi-roadblock-tesla-layoffs-110039924.html
TSLA,recruiter Quishon Walker was laid off earlier this month. He says that the layoffs were very sudden and that he feels for all the other people,NEGATIVE,0.8861335515975952,https://finance.yahoo.com/news/just-got-laid-off-dream-133711260.html
BTC,The cryptocurrency is trading near a two-month low. Saylor says crypto is the right choice for a treasury reserve asset,NEGATIVE,0.9767100214958191,https://finance.yahoo.com/news/bitcoin-saylor-buy-june-29-2022-185345513.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/cleanspark-announces-june-2022-bitcoin-130000731.html
BTC,June was second-biggest monthly loss for the cryptocurrency. Analysts expect institutional investment to boost prices in July,NEGATIVE,0.9980206489562988,https://finance.yahoo.com/news/traders-saying-bitcoins-biggest-monthly-090000278.html
BTC,"Bitcoin has lost almost 30% over the past week, Ether has been hit hard. Ripple, Litecoin and others have also seen their prices drop",NEGATIVE,0.9993683695793152,https://finance.yahoo.com/news/bitcoin-drops-133248611.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/news/binance-celebrates-5th-anniversary-zero-140000278.html
BTC,"Bitcoin is down nearly 30% in the past week, Ether is down 36%. Liquidity crisis has affected a string of crypto hedge funds and lenders",NEGATIVE,0.9992375373840332,https://finance.yahoo.com/news/bitcoin-price-june-17-2022-203000768.html
BTC,"Production Highlights for June 2022 Mined 72.18 BTC, resulting in total holdings of 293.30 BTC.",NEGATIVE,0.9509504437446594,https://finance.yahoo.com/news/digihost-announces-y-y-129-113000504.html
BTC,"Coin’s price consolidated last week around 2017 all-time-high price of $20,000.",NEGATIVE,0.6319164633750916,https://finance.yahoo.com/news/expect-bitcoin-ethereum-q3-2022-220819408.html
BTC,"Largest token briefly closes in on $21,000 level in Asia. Coin has lost more than half of its value this year",NEGATIVE,0.9995661377906799,https://finance.yahoo.com/news/bitcoin-surges-11-dip-buyers-012711385.html
